"ID","A_WT","B_WT","C_WT","D_WT","A_KO1","B_KO1","C_KO1","D_KO1","padj","log2FoldChange","pvalue","foldChange","log10padj"
"INPP4B",250.091985020299,250.492563681082,182.308342980575,210.633804552902,130.826301386386,166.084127310065,191.408075602124,158.997272280034,0.179177156687022,-0.460647566385542,0.0102542539878437,0.726660017693579,0.746717359390104
"ANKRD1",43.6330697269459,137.50442857387,1352.58058504275,472.476745075087,26.6087392650277,56.2997041729035,546.749383418509,561.58651939935,0.896471466383647,-0.75201717163956,0.544917083729986,0.59377276563001,0.0474635289566112
"DIRC3",12.7706545542281,10.6592580289822,4.60374603486302,26.0876730409557,13.3043696325139,7.5066272230538,11.9057654680747,15.2881992576955,0.95743038002134,-0.175989110309255,0.77679905395376,0.885160445885617,0.0188927961288772
"HECTD3",2322.1306864438,2466.55230790648,2133.37591255552,2201.99284667919,2024.48157908086,2292.33628824005,2072.51901955793,2095.50251158814,0.636173409947435,-0.104137973937409,0.159824993381129,0.930360677245881,0.196424486996075
"CCDC155",39.3761848755365,50.0985127362163,95.7579175251507,36.7159842798636,28.82613420378,37.533136115269,41.2122650817971,28.5379719476984,0.485764377955545,-0.705694347662105,0.0739668828271832,0.613147318918595,0.313574336020321
"RILPL2",14.8990969799327,13.8570354376769,34.9884698649589,30.9187236040957,27.7174367344039,19.7048964605162,39.3806088559395,45.8645977730866,0.777166035481268,0.479994328278577,0.303637127651054,1.39473818315281,0.109486187646861
"FH",3520.44377211553,3260.66703106565,3364.41760227789,3365.30982228329,3404.80992845417,3353.58571189929,3373.91076802979,3252.30958875377,0.955809465150335,-0.0135216204440384,0.766967866521309,0.990671311641331,0.0196286730805445
"DNAJC1",645.982276201369,447.688837217252,488.917828902452,605.81374061775,767.218648808299,684.979734103659,569.645086241729,552.413599844732,0.637455461849539,0.233886233523527,0.160765410062933,1.17599851102287,0.195550153401751
"STARD7-AS1",130.899209180838,92.7355448521451,109.56915562974,108.215532614335,154.108948243285,136.995946820732,119.057654680747,115.17110107464,0.657395115461729,0.249508229799405,0.176209438281743,1.18880182009057,0.182173527111557
"KIF16B",183.046048610602,211.053308973847,251.364533503521,171.985400047782,219.522098936479,164.207470504302,195.987216166769,223.207709162355,0.977513149586124,-0.028331017779521,0.874941711349759,0.980553995905319,0.00987739172822696
"EID2B",241.578215317481,232.371825031812,224.662806501315,222.228325904438,232.826468568992,258.040310792474,222.546231441705,231.361415433126,0.947836417881214,0.0382529030438516,0.732228441317216,1.0268695391792,0.023266608802891
"LOC653513",22.3486454698991,45.8348095246234,50.6412063834932,42.5132449556315,32.1522266119085,36.5948077123873,42.128093194726,37.7108915023157,0.943253423043138,-0.120182452533204,0.711465851421053,0.920071285109429,0.0253716100802678
"MYO3B",15.9633181927851,103.394802881127,133.508635011027,63.7698674334473,23.2826468568992,41.2864497267959,80.5928739377366,99.8829018169442,0.899161439848155,-0.369785035683224,0.55877789944004,0.773897800431231,0.0461623259078485
"LINC01530",40.4404060883888,40.5051805101323,46.0374603486302,30.9187236040957,35.4783190200369,39.4097929210325,46.7072337593701,44.8453844892403,0.955809465150335,0.0783206865346269,0.767496940365029,1.05578837532973,0.0196286730805445
"VIPR2",61.7248303454356,51.1644385391145,55.2449524183562,36.7159842798636,42.1305038362939,37.533136115269,23.8115309361495,32.6148250830838,0.409098443647045,-0.593577367542363,0.0519044973121768,0.662697615034317,0.388172172705943
"RUVBL1",1473.94637980049,1472.04353380244,1941.86007750522,1598.11152628669,1444.63280259713,1412.184246337,1743.73672701648,1873.31401570963,0.994795928267174,-0.0029381856661512,0.982665518294138,0.997965477342213,0.00226600098022489
"SRP14-AS1",128.770766755133,153.493315617344,168.497104875986,136.235625880547,79.8262177950831,98.5244823025811,126.384279584178,100.902115100791,0.142904662833091,-0.530293379312401,0.00688463358837641,0.692413913876315,0.84495360039277
"ATP5C1",4193.03157863821,3839.46474203939,3544.88444684452,4111.2240292321,4131.00677089555,4057.33201406058,4072.68761819449,4015.7003383547,0.84622865588099,0.0532543454572082,0.428858319550208,1.03760284861656,0.0725122722211373
"PAK6",40.4404060883888,57.5599933565039,64.4524444880822,46.3780854061435,42.1305038362939,54.4230473671401,76.9295614860213,41.7877446377012,0.977986022741626,0.046853679428465,0.877890475060274,1.03300961278861,0.00966735205244064
